Tick,CC,CD,DC,DD 
1,0,1,1,0
2,1,1,2,1
3,1,2,3,1
4,1,3,3,2
5,2,5,6,3
6,3,9,5,3
7,3,10,7,6
8,4,10,10,9
9,8,13,14,7
10,12,16,16,8
11,13,19,17,11
12,19,23,24,14
13,21,31,28,22
14,22,36,31,27
15,26,43,42,31
16,34,52,49,36
17,42,53,50,43
18,50,59,59,55
19,57,68,66,63
20,61,78,72,67
21,67,81,86,71
22,74,91,97,78
23,82,108,99,85
24,84,115,107,92
25,93,117,119,107
26,112,130,136,115
27,124,148,148,141
28,130,168,161,155
29,154,183,174,161
30,171,183,186,177
31,180,194,205,193
32,195,224,217,207
33,204,244,220,212
34,209,256,229,228
35,223,273,249,244
36,252,282,269,261
37,257,289,297,281
38,265,305,313,311
39,274,317,300,313
40,289,323,322,340
41,308,349,342,356
42,325,354,342,368
43,337,361,359,382
44,363,376,371,394
45,353,393,360,396
46,357,397,376,413
47,369,405,389,410
48,374,419,385,424
49,386,393,387,445
50,401,394,396,453
51,405,404,406,466
52,425,412,415,479
53,421,423,408,481
54,427,415,415,493
55,436,424,396,506
56,421,410,399,509
57,431,410,411,517
58,435,405,418,522
59,426,411,420,529
60,433,416,403,544
61,444,424,403,538
62,431,415,407,557
63,429,431,408,542
64,438,432,391,548
65,438,427,398,556
66,441,423,384,548
67,444,419,391,536
68,432,420,386,546
69,427,420,396,547
70,440,424,396,535
71,427,442,392,552
72,430,443,390,557
73,411,438,405,547
74,417,424,401,549
75,418,433,409,565
76,424,431,413,538
77,424,424,414,529
78,434,429,409,540
79,441,441,409,518
80,437,427,408,523
81,437,421,407,518
82,432,423,412,527
83,420,427,413,529
84,419,435,417,525
85,426,429,423,530
86,423,434,421,529
87,412,426,399,533
88,428,432,415,532
89,439,425,400,526
90,442,430,401,527
91,455,440,405,528
92,449,449,411,537
93,443,445,409,537
94,450,451,408,538
95,447,463,401,541
96,455,468,405,534
97,444,445,419,535
98,447,458,414,524
99,424,447,418,528
100,420,449,411,535
101,414,445,419,544
102,423,434,425,535
103,415,447,408,530
104,403,464,399,534
105,407,459,407,527
106,411,455,404,520
107,415,449,412,522
108,421,445,396,510
109,433,435,409,505
110,437,442,400,504
111,423,448,410,513
112,441,457,395,527
113,445,437,401,528
114,464,445,397,533
115,450,424,405,539
116,459,420,394,534
117,447,417,400,541
118,446,419,409,542
119,451,410,413,533
120,442,428,425,533
121,444,433,419,529
122,424,432,419,550
123,409,430,423,558
124,423,436,427,539
125,425,434,422,549
126,427,423,411,552
127,438,410,389,550
128,433,425,383,535
129,421,430,382,528
130,420,434,386,551
131,414,434,386,544
132,427,429,389,557
133,441,434,387,549
134,444,428,380,550
135,460,441,376,546
136,446,438,381,538
137,439,430,379,538
138,427,412,374,537
139,431,430,381,534
140,438,414,376,520
141,435,422,392,533
142,444,423,387,552
143,443,413,393,549
144,436,426,394,533
145,436,434,386,545
146,438,423,382,531
147,440,426,374,541
148,442,417,377,543
149,443,434,376,536
150,432,430,383,534
151,437,447,378,535
152,442,453,388,517
153,431,443,386,519
154,439,434,380,524
155,431,434,385,533
156,433,416,393,548
157,444,411,383,541
158,441,416,384,552
159,438,420,385,550
160,428,423,395,541
161,433,422,386,553
162,446,441,381,564
163,461,445,393,564
164,465,431,399,562
165,463,434,401,558
166,451,435,401,557
167,452,430,398,558
168,456,434,402,548
169,460,429,390,546
170,444,423,405,527
171,446,418,420,520
172,440,425,409,521
173,438,420,402,540
174,459,417,411,548
175,477,412,414,556
176,470,410,417,555
177,470,405,410,559
178,461,406,403,534
179,470,420,401,546
180,477,423,409,546
181,475,430,395,561
182,482,428,389,571
183,488,422,390,554
184,470,408,394,556
185,449,407,377,551
186,453,403,388,558
187,453,422,368,568
188,436,433,378,576
189,435,426,381,569
190,445,417,379,558
191,446,408,392,562
192,443,427,381,569
193,451,422,380,563
194,446,426,379,573
195,455,425,390,563
196,469,435,382,572
197,460,435,390,560
198,444,425,394,560
199,447,421,390,565
200,454,425,384,571
201,458,421,389,557
202,470,428,393,568
203,473,421,393,562
204,458,415,385,573
205,466,421,381,580
206,474,419,394,563
207,462,411,393,551
208,461,399,391,538
209,455,417,393,536
210,462,420,384,547
211,453,422,384,551
212,456,422,380,535
213,452,417,389,552
214,433,417,387,552
215,452,419,380,544
216,447,421,388,546
217,446,411,398,540
218,442,419,403,557
219,437,419,398,539
220,426,413,395,531
221,432,415,391,546
222,448,408,380,556
223,448,417,386,544
224,461,423,390,555
225,448,421,389,570
226,440,418,409,579
227,432,417,405,578
228,432,420,400,581
229,419,431,396,572
230,427,420,403,571
231,423,405,401,571
232,423,404,394,576
233,423,405,387,572
234,432,409,395,565
235,418,415,406,555
236,444,434,416,568
237,453,432,422,568
238,445,426,413,566
239,434,436,407,565
240,439,421,410,563
241,440,413,410,553
242,439,431,403,541
243,449,423,402,535
244,437,420,395,520
245,424,427,389,516
246,414,422,402,533
247,427,437,405,536
248,439,436,407,529
249,442,415,403,533
250,433,419,391,546
251,437,434,385,555
252,437,420,393,550
253,434,416,390,540
254,438,416,393,551
255,445,406,394,545
256,449,408,382,533
257,439,412,383,522
258,433,408,396,527
259,443,416,396,534
260,445,413,403,536
261,452,410,413,523
262,438,407,421,523
263,427,418,426,535
264,431,433,428,522
265,430,439,425,510
266,414,436,423,518
267,435,464,424,519
268,433,464,423,512
269,436,437,431,519
270,434,454,438,515
271,447,451,433,509
272,443,457,425,517
273,436,459,423,521
274,428,461,408,522
275,419,452,408,513
276,434,460,402,526
277,445,450,421,539
278,444,448,418,522
